line_code	env_code	FTdap	FTgdd
Line142	ISA_08	109.5	2363.4
Line142	ISI_08	64	2295.765
Line142	TH_08	58	2064.87
Line142	TS_07	95.5	2425.0275
Line142	TS_08E	132.5	2610.2475
Line142	TS_08L	80.5	2405.8575
Line142	TS_09	112.5	2685.195
Line143	FU_08	78	2370.2775
Line143	HA_08	66.5	2335.05
Line143	ISA_08	109	2363.4
Line143	ISI_08	61	2188.845
Line143	TH_08	58	2064.87
Line143	TS_07	95.5	2425.0275
Line143	TS_08E	127	2430.27
Line143	TS_08L	69	2069.01
Line143	TS_09	108	2560.545
Line144	FU_08	110	3283.41
Line144	HA_08	86.5	3010.14
Line144	ISA_08	136.5	3146.13
Line144	ISI_08	81.5	2868.075
Line144	TH_08	81	2838.195
Line144	TS_07	117.5	3119.8725
Line144	TS_08E	153	3240.8325
Line144	TS_08L	100.5	2875.4325
Line144	TS_09	132.5	3247.515
Line145	FU_08	81	2455.98
Line145	HA_08	73	2581.695
Line145	ISA_08	104	2197.89
Line145	ISI_08	69.5	2473.02
Line145	TH_08	65	2307.465
Line145	TS_07	95	2425.0275
Line145	TS_08E	124	2322.405
Line145	TS_08L	74	2228.1075
Line145	TS_09	103.5	2406.555
Line146	FU_08	83	2511.96
Line146	HA_08	67	2372.67
Line146	ISA_08	95.5	1906.83
Line146	ISI_08	76.5	2710.17
Line146	TH_08	71	2495.295
Line146	TS_07	87.5	2124.4725
Line146	TS_08E	111	1893.015
Line146	TS_08L	75	2257.7175
Line146	TS_09	95.5	2165.5125
Line147	FU_08	78	2370.2775
Line147	HA_08	67	2372.67
Line147	ISA_08	98.5	2004.12
Line147	ISI_08	64.5	2295.765
Line147	TH_08	67	2371.59
Line147	TS_07	86	2088.4275
Line147	TS_08E	114.5	1989.54
Line147	TS_08L	73	2196.405
Line147	TS_09	95.5	2165.5125
Line148	FU_08	89	2668.98
Line148	HA_08	67	2372.67
Line148	ISA_08	107	2295.36
Line148	ISI_08	65.5	2331.585
Line148	TH_08	63	2238.21
Line148	TS_07	99.5	2561.85
Line148	TS_08E	124	2322.405
Line148	TS_08L	75.5	2257.7175
Line148	TS_09	109	2590.605
Line149	FU_08	95.5	2849.01
Line149	HA_08	70	2478.87
Line149	ISA_08	112	2466.585
Line149	ISI_08	68.5	2438.325
Line149	TH_08	65	2307.465
Line149	TS_07	104	2730.1275
Line149	TS_08E	128.5	2463.84
Line149	TS_08L	84.5	2517.6375
Line149	TS_09	111.5	2654.64
Line15	FU_08	71.5	2133.735
Line15	HA_08	61	2146.725
Line15	ISA_08	91.5	1761.0975
Line15	ISI_08	61.5	2188.845
Line15	TH_08	59	2099.835
Line15	TS_07	85.5	2053.8225
Line15	TS_08E	109.5	1827
Line15	TS_08L	61.5	1860.705
Line15	TS_09	95.5	2165.5125
Line150	FU_08	77.5	2340.09
Line150	HA_08	66.5	2335.05
Line150	ISA_08	102	2126.61
Line150	ISI_08	64.5	2295.765
Line150	TH_08	63	2238.21
Line150	TS_07	96.5	2463.705
Line150	TS_08E	124.5	2322.405
Line150	TS_08L	70	2098.575
Line150	TS_09	104	2439.54
Line151	FU_08	101	3026.67
Line151	HA_08	83.5	2911.41
Line151	ISA_08	117	2638.305
Line151	ISI_08	83.5	2926.935
Line151	TH_08	74	2595.375
Line151	TS_07	103	2696.3775
Line151	TS_08E	133.5	2640.5325
Line151	TS_08L	89.5	2644.6275
Line151	TS_09	117	2845.3725
Line152	FU_08	101	3026.67
Line152	HA_08	74.5	2617.56
Line152	ISA_08	118.5	2664.9
Line152	ISI_08	75.5	2675.07
Line152	TH_08	71.5	2495.295
Line152	TS_07	105.5	2765.8575
Line152	TS_08E	133.5	2640.5325
Line152	TS_08L	91	2695.6575
Line152	TS_09	115.5	2778.93
Line153	FU_08	86	2588.16
Line153	HA_08	64.5	2261.385
Line153	ISA_08	109	2363.4
Line153	ISI_08	61	2188.845
Line153	TH_08	59	2099.835
Line153	TS_07	92	2309.6025
Line153	TS_08E	125.5	2355.57
Line153	TS_08L	75	2257.7175
Line153	TS_09	109	2590.605
Line154	FU_08	74	2239.485
Line154	HA_08	64	2261.385
Line154	ISA_08	102	2126.61
Line154	ISI_08	61	2188.845
Line154	TH_08	59	2099.835
Line154	TS_07	88	2160.4275
Line154	TS_08E	120	2196.99
Line154	TS_08L	67.5	2009.25
Line154	TS_09	100	2308.2075
Line155	FU_08	89.5	2668.98
Line155	HA_08	72	2546.73
Line155	ISA_08	115	2574.675
Line155	ISI_08	68	2438.325
Line155	TH_08	NA	NA
Line155	TS_07	101.5	2634.5025
Line155	TS_08E	133	2640.5325
Line155	TS_08L	79	2378.2725
Line155	TS_09	113	2715.435
Line156	FU_08	81	2455.98
Line156	HA_08	83	2911.41
Line156	ISA_08	91	1761.0975
Line156	ISI_08	80	2838.78
Line156	TH_08	NA	NA
Line156	TS_07	85	2053.8225
Line156	TS_08E	105	1696.725
Line156	TS_08L	76	2289.0825
Line156	TS_09	88	1943.955
Line157	FU_08	88	2639.64
Line157	HA_08	73	2581.695
Line157	ISA_08	95.5	1906.83
Line157	ISI_08	72	2573.01
Line157	TH_08	70	2462.085
Line157	TS_07	89	2199.3975
Line157	TS_08E	111	1893.015
Line157	TS_08L	76.5	2289.0825
Line157	TS_09	93.5	2108.205
