Loc	Rep	Entry	FT
TS_08L	1	Line30	70
FU_08	1	Line30	76
TS_07	1	Line30	83
TS_09	1	Line30	88
ISA_08	1	Line30	89
TS_08E	1	Line30	104
TH_08	2	Line30	76
HA_08	2	Line30	74
ISI_08	2	Line30	69
TS_08L	2	Line30	71
FU_08	2	Line30	78
TS_07	2	Line30	85
TS_09	2	Line30	87
ISA_08	2	Line30	89
TS_08E	2	Line30	102
TH_08	1	Line31	72
HA_08	1	Line31	72
ISI_08	1	Line31	77
TS_08L	1	Line31	77
FU_08	1	Line31	83
TS_07	1	Line31	90
TS_09	1	Line31	100
ISA_08	1	Line31	101
TS_08E	1	Line31	116
TH_08	2	Line31	73
HA_08	2	Line31	74
ISI_08	2	Line31	75
TS_08L	2	Line31	78
FU_08	2	Line31	85
TS_07	2	Line31	91
TS_09	2	Line31	101
ISA_08	2	Line31	101
TS_08E	2	Line31	117
TH_08	1	Line32	72
HA_08	1	Line32	72
ISI_08	1	Line32	74
TS_08L	1	Line32	66
FU_08	1	Line32	72
TS_07	1	Line32	80
TS_09	1	Line32	87
ISA_08	1	Line32	91
TS_08E	1	Line32	104
TH_08	2	Line32	70
HA_08	2	Line32	72
ISI_08	2	Line32	73
TS_08L	2	Line32	67
FU_08	2	Line32	73
TS_07	2	Line32	80
TS_09	2	Line32	86
ISA_08	2	Line32	90
TS_08E	2	Line32	105
TH_08	1	Line33	60
HA_08	1	Line33	65
ISI_08	1	Line33	60
TS_08L	1	Line33	62
FU_08	1	Line33	71
TS_07	1	Line33	84
TS_09	1	Line33	95
ISA_08	1	Line33	93
TS_08E	1	Line33	112
TH_08	2	Line33	60
HA_08	2	Line33	65
ISI_08	2	Line33	61
TS_08L	2	Line33	61
FU_08	2	Line33	70
TS_07	2	Line33	84
TS_09	2	Line33	95
ISA_08	2	Line33	93
TS_08E	2	Line33	112
TH_08	1	Line34	62
HA_08	1	Line34	66
ISI_08	1	Line34	66
TS_08L	1	Line34	79
FU_08	1	Line34	90
TS_07	1	Line34	100
TS_09	1	Line34	114
ISA_08	1	Line34	116
TS_08E	1	Line34	138
TH_08	2	Line34	62
HA_08	2	Line34	66
ISI_08	2	Line34	64
TS_08L	2	Line34	79
FU_08	2	Line34	91
TS_07	2	Line34	101
TS_09	2	Line34	113
ISA_08	2	Line34	116
TS_08E	2	Line34	136
TH_08	1	Line35	63
HA_08	1	Line35	64
ISI_08	1	Line35	64
TS_08L	1	Line35	64
FU_08	1	Line35	72
TS_07	1	Line35	84
TS_09	1	Line35	99
ISA_08	1	Line35	97
TS_08E	1	Line35	115
TH_08	2	Line35	64
HA_08	2	Line35	65
ISI_08	2	Line35	63
TS_08L	2	Line35	63
FU_08	2	Line35	72
TS_07	2	Line35	85
TS_09	2	Line35	95
ISA_08	2	Line35	96
TS_08E	2	Line35	115
TH_08	1	Line36	61
HA_08	1	Line36	66
ISI_08	1	Line36	68
TS_08L	1	Line36	73
FU_08	1	Line36	82
TS_07	1	Line36	98
TS_09	1	Line36	107
ISA_08	1	Line36	108
TS_08E	1	Line36	131
TH_08	2	Line36	61
HA_08	2	Line36	67
ISI_08	2	Line36	68
TS_08L	2	Line36	73
FU_08	2	Line36	81
TS_07	2	Line36	97
TS_09	2	Line36	108
ISA_08	2	Line36	109
TS_08E	2	Line36	131
TH_08	1	Line37	63
HA_08	1	Line37	68
ISI_08	1	Line37	69
TS_08L	1	Line37	69
FU_08	1	Line37	72
TS_07	1	Line37	89
TS_09	1	Line37	94
ISA_08	1	Line37	95
TS_08E	1	Line37	114
TH_08	2	Line37	65
HA_08	2	Line37	68
ISI_08	2	Line37	69
TS_08L	2	Line37	69
FU_08	2	Line37	73
TS_07	2	Line37	88
TS_09	2	Line37	93
ISA_08	2	Line37	95
TS_08E	2	Line37	110
TH_08	1	Line38	60
HA_08	1	Line38	62
ISI_08	1	Line38	60
TS_08L	1	Line38	56
FU_08	1	Line38	64
TS_07	1	Line38	73
TS_09	1	Line38	78
ISA_08	1	Line38	82
TS_08E	1	Line38	96
TH_08	2	Line38	58
HA_08	2	Line38	62
ISI_08	2	Line38	63
TS_08L	2	Line38	57
FU_08	2	Line38	63
TS_07	2	Line38	73
TS_09	2	Line38	79
ISA_08	2	Line38	81
TS_08E	2	Line38	97
TH_08	1	Line39	67
HA_08	1	Line39	69
ISI_08	1	Line39	70
TS_08L	1	Line39	59
FU_08	1	Line39	71
TS_07	1	Line39	78
TS_09	1	Line39	86
ISA_08	1	Line39	87
TS_08E	1	Line39	107
TH_08	2	Line39	65
HA_08	2	Line39	70
ISI_08	2	Line39	69
TS_08L	2	Line39	59
FU_08	2	Line39	71
TS_07	2	Line39	77
TS_09	2	Line39	86
ISA_08	2	Line39	87
TS_08E	2	Line39	106
TH_08	1	Line40	59
HA_08	1	Line40	67
ISI_08	1	Line40	65
TS_08L	1	Line40	64
FU_08	1	Line40	66
TS_07	1	Line40	76
TS_09	1	Line40	81
ISA_08	1	Line40	83
TS_08E	1	Line40	99
TH_08	2	Line40	59
HA_08	2	Line40	67
ISI_08	2	Line40	65
TS_08L	2	Line40	66
FU_08	2	Line40	67
TS_07	2	Line40	76
TS_09	2	Line40	81
ISA_08	2	Line40	82
TS_08E	2	Line40	98
TH_08	1	Line41	NA
HA_08	1	Line41	62
ISI_08	1	Line41	60
TS_08L	1	Line41	61
FU_08	1	Line41	66
TS_07	1	Line41	82
TS_09	1	Line41	89
ISA_08	1	Line41	89
TS_08E	1	Line41	107
TH_08	2	Line41	NA
HA_08	2	Line41	62
ISI_08	2	Line41	60
TS_08L	2	Line41	60
FU_08	2	Line41	66
TS_07	2	Line41	83
TS_09	2	Line41	89
ISA_08	2	Line41	89
TS_08E	2	Line41	108
TH_08	1	Line42	71
HA_08	1	Line42	72
ISI_08	1	Line42	70
TS_08L	1	Line42	64
FU_08	1	Line42	69
TS_07	1	Line42	78
TS_09	1	Line42	84
ISA_08	1	Line42	87
TS_08E	1	Line42	102
TH_08	2	Line42	71
HA_08	2	Line42	72
ISI_08	2	Line42	70
TS_08L	2	Line42	63
FU_08	2	Line42	68
TS_07	2	Line42	78
TS_09	2	Line42	83
ISA_08	2	Line42	85
TS_08E	2	Line42	102
TH_08	1	Line43	66
HA_08	1	Line43	66
ISI_08	1	Line43	65
TS_08L	1	Line43	74
FU_08	1	Line43	83
TS_07	1	Line43	96
TS_09	1	Line43	109
ISA_08	1	Line43	108
TS_08E	1	Line43	130
TH_08	2	Line43	NA
HA_08	2	Line43	66
ISI_08	2	Line43	65
TS_08L	2	Line43	72
FU_08	2	Line43	84
TS_07	2	Line43	98
TS_09	2	Line43	109
ISA_08	2	Line43	107
TS_08E	2	Line43	130
TH_08	1	Line44	75
HA_08	1	Line44	76
ISI_08	1	Line44	76
TS_08L	1	Line44	70
FU_08	1	Line44	76
TS_07	1	Line44	88
TS_09	1	Line44	93
ISA_08	1	Line44	96
TS_08E	1	Line44	113
TH_08	2	Line44	NA
HA_08	2	Line44	76
ISI_08	2	Line44	75
TS_08L	2	Line44	71
FU_08	2	Line44	76
TS_07	2	Line44	90
TS_09	2	Line44	92
ISA_08	2	Line44	95
TS_08E	2	Line44	111
TH_08	1	Line45	65
HA_08	1	Line45	69
ISI_08	1	Line45	70
TS_08L	1	Line45	70
FU_08	1	Line45	72
TS_07	1	Line45	82
TS_09	1	Line45	88
ISA_08	1	Line45	90
TS_08E	1	Line45	108
TH_08	2	Line45	NA
HA_08	2	Line45	68
ISI_08	2	Line45	69
TS_08L	2	Line45	70
FU_08	2	Line45	74
TS_07	2	Line45	82
TS_09	2	Line45	89
ISA_08	2	Line45	89
TS_08E	2	Line45	107
TH_08	1	Line46	58
HA_08	1	Line46	53
ISI_08	1	Line46	60
TS_08L	1	Line46	62
FU_08	1	Line46	69
TS_07	1	Line46	84
TS_09	1	Line46	93
ISA_08	1	Line46	91
TS_08E	1	Line46	111
TH_08	2	Line46	58
HA_08	2	Line46	53
ISI_08	2	Line46	59
TS_08L	2	Line46	61
FU_08	2	Line46	69
TS_07	2	Line46	85
TS_09	2	Line46	94
ISA_08	2	Line46	90
TS_08E	2	Line46	112
TH_08	1	Line47	71
HA_08	1	Line47	68
ISI_08	1	Line47	69
TS_08L	1	Line47	75
FU_08	1	Line47	84
TS_07	1	Line47	85
TS_09	1	Line47	92
ISA_08	1	Line47	95
TS_08E	1	Line47	110
TH_08	2	Line47	71
HA_08	2	Line47	69
ISI_08	2	Line47	68
TS_08L	2	Line47	72
FU_08	2	Line47	84
TS_07	2	Line47	86
TS_09	2	Line47	93
ISA_08	2	Line47	94
TS_08E	2	Line47	110
TH_08	1	Line48	NA
HA_08	1	Line48	61
ISI_08	1	Line48	61
TS_08L	1	Line48	67
FU_08	1	Line48	75
TS_07	1	Line48	87
TS_09	1	Line48	102
ISA_08	1	Line48	99
TS_08E	1	Line48	119
TH_08	2	Line48	NA
HA_08	2	Line48	62
ISI_08	2	Line48	61
TS_08L	2	Line48	67
FU_08	2	Line48	76
TS_07	2	Line48	88
TS_09	2	Line48	102
ISA_08	2	Line48	99
TS_08E	2	Line48	121
TH_08	1	Line49	59
HA_08	1	Line49	61
ISI_08	1	Line49	61
TS_08L	1	Line49	66
FU_08	1	Line49	75
TS_07	1	Line49	85
TS_09	1	Line49	103
