env_code	pop_code	ril_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
ONH1_15	1	G2F_22	259.509	246.575	229.998866923022	246.210593651411
DEH1_15	1	G2F_23	231.406	216.164	229.789101083006	228.816426196514
ILH1_15	1	G2F_23	230.603	228.05	228.582305707299	229.017558759132
INH1_15	1	G2F_23	175.547	204.556	193.563476736016	234.854030254346
MNH1_15	1	G2F_23	219.757	219.249	222.00013849933	230.114586627127
NEH4_15	1	G2F_23	234.517	221.99	228.081646927902	229.101001889032
OHH1_15	1	G2F_23	232.345	241.093	223.096241536322	229.931902787628
ONH2_15	1	G2F_23	256.485	265.503	277.574747772217	220.852151748313
DEH1_15	1	G2F_24	268.684	260.074	278.97253181023	267.158816850253
ILH1_15	1	G2F_24	268.611	267.161	275.902605501286	267.670471235077
INH1_15	1	G2F_24	244.274	260.372	243.712823400675	273.035434918512
MNH1_15	1	G2F_24	265.478	266.037	254.000334310547	271.320849766867
NEH4_15	1	G2F_24	271.714	264.74	270.891409048835	268.505670643819
OHH1_15	1	G2F_24	270.367	274.691	268.329083871433	268.932724840053
ONH2_15	1	G2F_24	297.369	304.237	290.116644968742	265.301464657168
DEH1_15	1	G2F_25	231.554	227.431	240.904628982265	231.752394062752
ILH1_15	1	G2F_25	238.739	239.157	194.594189841733	239.470800586174
INH1_15	1	G2F_25	210.876	234.982	207.647921487863	237.295178645153
NEH4_15	1	G2F_25	229.611	225.629	261.512473862717	228.317753249344
OHH1_15	1	G2F_25	233.475	237.3	228.760564519984	233.776404806466
ONH1_15	1	G2F_25	234.094	226.395	249.992644981495	230.237724729547
ONH2_15	1	G2F_25	261.56	244.885	248.006569682722	230.568737279343
DEH1_15	1	G2F_26	281.052	273.53	294.723533417893	281.184237893475
ILH1_15	1	G2F_26	283.167	283.078	279.835836690401	283.66552068139
INH1_15	1	G2F_26	245.405	261.432	275.467661101823	284.393549946153
NEH4_15	1	G2F_26	280.741	275.546	302.531833364229	279.882854569085
OHH1_15	1	G2F_26	283.474	289.858	279.78780946945	283.673525218215
ONH1_15	1	G2F_26	294.647	286.836	235.013584421973	291.135896059461
ONH2_15	1	G2F_26	274.889	287.228	314.468702312972	277.893376410961
DEH1_15	1	G2F_27	219.931	214.803	220.095894304186	216.903991091429
ILH1_15	1	G2F_27	216.914	219.207	230.425367508215	214.838096450623
INH1_15	1	G2F_27	242.744	201.002	205.36442271766	219.850285408734
MNH1_15	1	G2F_27	216.2	215.736	219.999479437008	216.923274064865
NEH4_15	1	G2F_27	227.456	222.282	199.942876324812	220.934594687304
OHH1_15	1	G2F_27	217.487	227.124	228.78780946945	215.165608058376
DEH1_15	1	G2F_28	253.911	247.819	261.155962537455	248.984223396369
ILH1_15	1	G2F_28	255.543	253.149	253.196210678232	250.576173768214
INH1_15	1	G2F_28	184.795	266.089	236.467661101823	253.921883683496
MNH1_15	1	G2F_28	251.796	252.474	241.000042978011	253.015407308258
NEH4_15	1	G2F_28	252.688	247.994	268.790008835207	247.457414136819
